Gold (OG|GC) OGG6 (0.44 DTE) vs 5090.7 (+8.2) - Intraday Volume
Strike,Call,Put,Vol Settle
4870,0,2,0.5725857375513783
4875,0,40,0.5673890277274865
4880,0,5,0.5622652605559679
4885,0,2,0.5572155589077141
4890,0,2,0.5522410443838908
4895,0,10,0.5473428373155684
4900,180,129,0.5425220567640849
4905,0,2,0.5377798205211093
4910,5,0,0.5331172451083361
4915,0,3,0.5285354457775355
4920,1,7,0.5240355365110645
4925,0,16,0.5196186300208225
4930,1,10,0.5152858377493743
4935,0,9,0.5110382698691893
4940,0,5,0.5068770352830541
4945,0,2,0.5028032416237025
4950,1,130,0.4988179952546119
4955,0,4,0.49492240126839704
4960,3,15,0.49111756348892044
4965,0,6,0.4874045844695942
4970,0,20,0.4837845654942683
4975,1,57,0.4802586065765766
4980,0,35,0.4768278064607685
4985,3,20,0.47349326262114033
4990,0,8,0.4702560712619501
4995,2,11,0.46711732731771605
5000,20,288,0.4640781244534722
5005,0,13,0.46113955506385196
5010,2,15,0.45830271027394787
5015,1,56,0.4555686799390628
5020,8,14,0.45293855264467453
5025,5,50,0.45041341570615145
5030,5,26,0.4479943551693566
5035,4,6,0.44568245581032784
5040,9,31,0.4434788011351074
5045,10,3,0.44138447337972053
5050,75,51,0.4394005535105947
5055,3,2,0.4375281212246094
5060,18,15,0.43576825494823623
5065,12,15,0.43412203183859077
5070,28,21,0.43259052778252993
5075,19,25,0.43117481739749763
5080,124,15,0.42987597403086397
5085,18,21,0.428695069760181
5090,29,4,0.4276331753930904
5095,17,2,0.4266913604678777
5100,294,6,0.42587069325218607
5105,24,0,0.42517224074463655
5110,67,0,0.4245970686733713
5115,10,0,0.42414624149723323
5120,65,0,0.4238208224048279
5125,139,0,0.42362187331497836
5130,10,0,0.4235504548770166
5135,10,0,0.4236076264701154
5140,40,0,0.4237944462037717
5145,3,0,0.4241119709172523
5150,116,6,0.42456125618080165
5155,32,0,0.4251433562941358
5160,14,0,0.42585932428725215
5165,38,0,0.4267102119204367
5170,11,0,0.4276970696844842
5175,64,0,0.4288209467995543
5180,22,0,0.4300828912166068
5190,21,0,0.4330251674103991
5200,247,0,0.43653225647572924
5210,1,0,0.44061249630436095
5220,3,0,0.44527420447150945
5225,12,0,0.44782570286854906
5230,3,0,0.45052567823454126
5240,44,0,0.45637519453374864
5250,28,0,0.4628310099923709
5260,2,0,0.4699013609156708
5270,3,0,0.47759446329207833
5275,0,0,0.4816771082161324
5280,44,0,0.48591851279252296
5290,0,0,0.4948816847708315
5300,2,0,0.5044921342631881
5310,0,0,0.514757995988802
5320,0,0,0.5256873843490979
